latitude,longitude,nom_commune_complet,nom_departement,nom_region
45.965147537,5.50283599885,Évosges,Ain,Auvergne-Rhône-Alpes
45.9104942091,5.1249258559,Faramans,Ain,Auvergne-Rhône-Alpes
46.020997974,4.7620080898,Fareins,Ain,Auvergne-Rhône-Alpes
46.166230455,5.90019477201,Farges,Ain,Auvergne-Rhône-Alpes
46.3365833672,4.88507050971,Feillens,Ain,Auvergne-Rhône-Alpes
46.2519789243,6.10826403805,Ferney-Voltaire,Ain,Auvergne-Rhône-Alpes
45.8113298005,5.74459048839,Flaxieu,Ain,Auvergne-Rhône-Alpes
46.3784759782,5.18483641417,Foissiat,Ain,Auvergne-Rhône-Alpes
46.0735946256,4.81293575559,Francheleins,Ain,Auvergne-Rhône-Alpes
46.0735946256,4.81293575559,Francheleins,Ain,Auvergne-Rhône-Alpes
46.0735946256,4.81293575559,Francheleins,Ain,Auvergne-Rhône-Alpes
45.9939065077,4.78033196905,Frans,Ain,Auvergne-Rhône-Alpes
46.2136224825,4.82843188743,Garnerans,Ain,Auvergne-Rhône-Alpes
46.1201611728,4.79288195016,Genouilleux,Ain,Auvergne-Rhône-Alpes
46.1896733539,5.55139781353,Béard-Géovreissiat,Ain,Auvergne-Rhône-Alpes
46.2508621615,5.61271973915,Géovreisset,Ain,Auvergne-Rhône-Alpes
46.3054983344,5.45012798616,Germagnat,Ain,Auvergne-Rhône-Alpes
46.3471891747,6.04650555568,Gex,Ain,Auvergne-Rhône-Alpes
46.2227121191,5.78049809256,Giron,Ain,Auvergne-Rhône-Alpes
46.414943437,4.95120595427,Gorrevod,Ain,Auvergne-Rhône-Alpes
46.207387937,5.43318666027,Grand-Corent,Ain,Auvergne-Rhône-Alpes
46.2633634407,4.84621318847,Grièges,Ain,Auvergne-Rhône-Alpes
46.3318810665,6.11366767978,Grilly,Ain,Auvergne-Rhône-Alpes
46.2260039429,5.61095413441,Groissiat,Ain,Auvergne-Rhône-Alpes
46.106624674,4.78159420118,Guéreins,Ain,Auvergne-Rhône-Alpes
46.1611241927,5.42944457639,Hautecourt-Romanèche,Ain,Auvergne-Rhône-Alpes
46.1611241927,5.42944457639,Hautecourt-Romanèche,Ain,Auvergne-Rhône-Alpes
